CLE_ECO,REG_ECOL,LONGITUDE,LATITUDE,ALTITUDE,EXPOSITION,VERSANT,SITUATION,FORME_PENT,CLASS_PENT,FORCE_PENT,PENT_ARRI,HUMUS,HUMUS_EPAI,INDURATION,PIER_PRC,DENSITE,CLASSE_AGE,SUBMERSION,SEEPAGE
02600505,1a,-77.22603795,45.98580502,155,E,M,7,C,B,8,3,MR,15,NO,40,A,90,10,NON_SP
02600506,1a,-77.22416982,45.98705855,135,O,B,5,C,D,27,0,MD,9,NO,30,A,90,10,NON_SP
02600601,1a,-77.08455852,45.94514581,190,S,B,5,X,D,27,2,MD,4,NO,30,B,JIN,10,NON_SP
02600602,1a,-77.08195883,45.94692263,220,E,B,4,R,B,4,0,MD,5,NO,30,B,70,10,NON_SP
02600603,1a,-77.07859081,45.94925215,165,N,B,5,R,C,12,3,MD,6,NO,10,A,70,10,NON_SP
02600604,1a,-77.07657979,45.95061198,130,O,B,8,C,B,6,0,TO,30,NO,0,B,50,30,NON_SP
02600605,1a,-77.07517082,45.95157284,135,O,B,4,C,C,10,0,MD,5,NO,0,C,70,10,NON_SP
02703001,1a,-76.36160108,45.66642385,190,S,B,5,C,F,47,1,MU,1,NO,25,C,50,10,NON_SP
02703002,1a,-76.36070116,45.66705263,190,Totale,B,0,R,A,3,0,MD,7,NO,30,NO,10,10,NON_SP
02703003,1a,-76.35695973,45.66971147,190,N,B,5,R,D,18,0,MD,9,NO,20,C,JIN,10,NON_SP
02703004,1a,-76.3561239,45.67033129,190,Totale,B,3,R,A,3,0,MD,6,NO,20,D,50,10,NON_SP
02703005,1a,-76.35433665,45.67157977,220,N,B,5,R,B,4,0,MD,8,NO,15,B,50,10,NON_SP
02703006,1a,-76.35024746,45.67446289,190,E,B,8,R,B,4,0,MD,3,NO,15,C,JIN,10,NON_SP
02703101,1a,-76.34384914,45.48253834,75,Totale,B,3,X,B,4,0,MR,4,NO,15,D,50,10,NON_SP
02703102,1a,-76.3445177,45.48130646,75,Totale,B,6,R,A,3,0,MD,5,NO,20,C,50,10,NON_SP
02703103,1a,-76.34521232,45.47989465,75,Totale,B,4,R,B,8,0,MD,10,NO,45,B,50,10,NON_SP
02703104,1a,-76.34638246,45.47763761,75,S,B,7,C,B,7,0,MR,3,NO,80,C,30,10,NON_SP
02703105,1a,-76.3472569,45.47591108,75,Totale,B,8,R,A,2,0,MD,5,NO,10,NO,NO,10,NON_SP
02703106,1a,-76.34849107,45.47356412,75,Totale,B,3,X,C,11,0,MD,3,NO,75,D,30,10,NON_SP
02703401,1a,-76.68445307,45.84014684,120,Totale,B,0,R,A,0,0,MD,3,NO,40,C,30,10,NON_SP
02703402,1a,-76.68737506,45.8400521,120,Totale,B,0,R,A,0,0,MD,3,NO,5,NO,10,10,NON_SP
02703403,1a,-76.68985949,45.84000301,120,Totale,B,0,R,B,5,0,MD,4,NO,10,D,JIN,10,NON_SP
02703404,1a,-76.69560054,45.83984037,120,Totale,B,0,R,B,5,0,MD,4,NO,0,C,JIN,10,NON_SP
02703405,1a,-76.69738986,45.8398103,120,Totale,B,0,R,B,5,0,MD,4,NO,15,D,JIN,10,NON_SP
02703406,1a,-76.69951365,45.83971663,120,Totale,B,0,R,A,0,0,MR,4,NO,65,C,30,10,NON_SP
02703601,1a,-76.45149169,45.66273615,180,Totale,B,0,R,A,2,0,SO,47,NO,0,C,30,10,NON_SP
02703602,1a,-76.45222634,45.65901121,180,Totale,B,0,R,A,1,0,SO,99,NO,0,B,JIN,20,NON_SP
02703603,1a,-76.45244529,45.65805749,180,Totale,B,0,R,A,1,0,TO,9,NO,0,C,JIN,10,NON_SP
02703604,1a,-76.45314089,45.65484543,180,Totale,B,0,R,A,3,0,MD,5,NO,0,C,JIN,10,NON_SP
02703605,1a,-76.45326974,45.65418861,180,O,B,5,R,B,6,0,MD,8,NO,0,C,JIN,10,NON_SP
02703606,1a,-76.45339863,45.6534958,180,Totale,B,0,R,A,1,0,SO,99,NO,0,NO,NO,20,NON_SP
02704401,1a,-76.51142457,45.67898756,215,Totale,B,0,R,A,0,0,MR,6,NO,45,C,JIN,10,NON_SP
02704402,1a,-76.51273321,45.67591905,215,N,B,7,R,C,12,2,MR,5,NO,4,A,JIN,10,NON_SP
02704403,1a,-76.51424696,45.67242759,235,O,M,5,R,C,15,1,MR,2,NO,2,B,JIN,10,NON_SP
02704404,1a,-76.51495245,45.67076284,205,N,B,5,C,D,28,0,MR,6,NO,0,B,JIN,10,NON_SP
02704405,1a,-76.515581,45.66950301,200,Totale,B,3,X,A,3,0,MR,1,NO,0,B,30,10,NON_SP
02704406,1a,-76.51606835,45.6682522,200,N,B,4,R,E,35,0,MR,3,NO,0,B,50,10,NON_SP
02704501,1a,-76.15813923,45.56234527,95,Totale,B,0,R,A,1,0,MR,6,NO,0,B,70,10,NON_SP
02704502,1a,-76.15417124,45.56392603,95,Totale,B,0,R,A,1,0,MD,10,NO,0,C,JIN,20,NON_SP
02704503,1a,-76.14863599,45.56616773,95,Totale,B,0,R,A,1,0,MD,4,NO,0,B,50,10,NON_SP
02704504,1a,-76.14647827,45.5670429,95,Totale,B,0,R,A,0,0,MD,10,NO,0,B,70,10,NON_SP
02704505,1a,-76.14140477,45.56910571,95,Totale,B,0,R,A,0,0,MD,5,NO,0,B,50,10,NON_SP
02704601,1a,-76.35498139,45.59084849,260,Totale,B,0,R,A,2,0,MD,5,NO,35,C,JIN,10,NON_SP
02704602,1a,-76.35482391,45.58730296,190,Totale,M,4,R,B,6,0,MR,12,NO,4,C,JIN,10,NON_SP
02704603,1a,-76.35472949,45.58416243,180,S,M,5,R,B,7,0,MR,5,NO,2,A,JIN,10,NON_SP
02704604,1a,-76.35468292,45.58234472,180,N,M,5,R,D,24,0,MD,4,NO,10,A,JIN,10,NON_SP
02704605,1a,-76.35457442,45.57969908,215,N,M,5,R,B,5,0,MR,7,NO,15,B,JIN,10,NON_SP
02704606,1a,-76.35456648,45.57780942,215,E,M,7,X,C,10,0,MR,9,NO,4,C,JIN,10,NON_SP
21100801,1a,-72.89273624,46.06477718,10,Totale,B,0,R,A,0,0,MR,11,NO,0,B,30,20,NON_SP
21100802,1a,-72.89369517,46.06573601,10,Totale,B,0,R,A,0,0,MD,9,NO,0,C,30,20,NON_SP
21100803,1a,-72.89558611,46.06776148,10,Totale,B,0,R,A,0,0,MD,4,NO,0,B,30,20,NON_SP
21100804,1a,-72.89979001,46.07227341,10,Totale,B,0,R,A,0,0,MD,5,NO,0,B,30,20,NON_SP
21100805,1a,-72.90041543,46.07301449,10,Totale,B,0,R,A,0,0,MD,9,NO,0,C,50,20,NON_SP
21100806,1a,-72.90224378,46.07489555,10,Totale,B,0,R,A,0,0,MU,6,NO,0,B,50,20,NON_SP
21101001,1a,-72.91950898,45.95581986,20,Totale,B,0,R,A,0,0,MR,6,NO,0,B,10,10,NON_SP
21101002,1a,-72.91936373,45.95737573,20,Totale,B,0,R,A,0,0,MR,15,NO,0,B,50,10,NON_SP
21101003,1a,-72.9190841,45.95944378,20,Totale,B,0,R,A,0,0,MR,14,NO,0,B,50,10,NON_SP
21101004,1a,-72.91861237,45.96384127,20,Totale,B,0,R,A,0,0,MR,15,NO,0,C,50,10,NON_SP
21101005,1a,-72.91836357,45.9654236,20,Totale,B,0,R,A,0,0,MR,12,NO,0,NO,10,10,NON_SP
21101006,1a,-72.91815157,45.96718608,20,Totale,B,0,R,A,0,0,MD,8,NO,0,B,70,10,NON_SP
21108701,1a,-72.98456221,45.82803874,30,Totale,B,0,R,A,0,0,MD,14,NO,0,C,10,10,NON_SP
21108702,1a,-72.98314182,45.82853621,30,Totale,B,0,R,A,0,0,MR,9,NO,0,C,30,10,NON_SP
21108703,1a,-72.98102496,45.82918346,30,Totale,B,0,R,A,1,0,MR,17,NO,0,C,30,10,NON_SP
21108704,1a,-72.97999222,45.82951169,30,Totale,B,0,R,A,0,0,MD,13,NO,0,B,30,10,NON_SP
21108705,1a,-72.97382116,45.83148998,30,Totale,B,0,R,A,1,0,MR,13,NO,0,A,VIN,10,NON_SP
21108706,1a,-72.97295617,45.83176493,30,Totale,B,0,R,A,0,0,MD,14,NO,0,A,30,10,NON_SP
31000101,1a,-73.15399416,46.00842604,20,Totale,B,0,R,A,1,0,MR,7,NO,0,A,30,10,NON_SP
31000102,1a,-73.15395238,46.00684232,20,Totale,B,3,X,C,12,0,MD,6,NO,0,A,70,10,NON_SP
31000103,1a,-73.15391555,46.00446684,20,Totale,B,0,R,A,1,0,MR,2,NO,0,B,70,10,NON_SP
31000104,1a,-73.15398453,46.00168677,20,Totale,B,0,R,A,0,0,MD,7,NO,0,A,70,10,NON_SP
31000105,1a,-73.15394545,45.99967118,20,Totale,B,0,R,A,2,0,MD,8,NO,0,A,70,10,NON_SP
31000106,1a,-73.1539131,45.99657589,20,Totale,B,0,R,A,0,0,MU,17,NO,0,A,30,10,NON_SP
31000201,1a,-73.11914478,45.94845718,20,Totale,B,0,R,A,2,2,MD,12,NO,5,A,VIN,10,NON_SP
31000202,1a,-73.1171446,45.94747424,20,Totale,B,0,R,A,0,0,MD,15,NO,5,A,VIN,10,NON_SP
31000203,1a,-73.11187752,45.94488762,20,Totale,B,0,I,A,0,0,TO,16,NO,0,C,30,10,NON_SP
31000204,1a,-73.10885254,45.94340168,20,Totale,B,0,R,A,0,0,MR,16,NO,0,B,50,10,NON_SP
31000205,1a,-73.10769257,45.94283085,20,Totale,B,0,R,A,0,0,MR,12,NO,0,B,50,10,NON_SP
31000206,1a,-73.10375855,45.94089625,20,Totale,B,0,R,A,0,0,MR,16,NO,2,B,90,10,NON_SP
31000301,1a,-73.0568837,45.89901752,35,Totale,B,0,R,A,0,0,MR,7,NO,0,B,30,10,NON_SP
31000302,1a,-73.06140065,45.89753681,35,Totale,B,0,R,A,0,0,MR,8,NO,0,C,50,10,NON_SP
31000303,1a,-73.06324822,45.89693204,35,Totale,B,0,R,A,0,0,MR,7,NO,1,B,50,10,NON_SP
31000304,1a,-73.06853558,45.89519305,35,Totale,B,0,R,A,0,0,MR,10,NO,0,B,50,10,NON_SP
31000305,1a,-73.07046051,45.89456146,35,Totale,B,0,R,A,0,0,MD,10,NO,5,B,VIN,10,NON_SP
31000306,1a,-73.07314839,45.89368074,35,Totale,B,0,R,A,0,0,MU,10,NO,3,B,VIN,10,NON_SP
31000401,1a,-73.23763844,45.83889845,20,Totale,B,0,R,A,2,0,MU,6,NO,1,D,30,10,NON_SP
31000402,1a,-73.23785658,45.84067603,20,Totale,B,0,R,A,0,0,MU,10,NO,2,D,120,10,NON_SP
31000403,1a,-73.23811853,45.84280914,20,Totale,B,0,R,A,0,0,MD,8,NO,0,C,120,10,NON_SP
31000404,1a,-73.23833982,45.84460922,20,Totale,B,0,R,A,0,0,MD,6,NO,1,B,90,10,NON_SP
31000405,1a,-73.23855798,45.8463913,20,Totale,B,0,R,A,0,0,SO,99,NO,0,B,30,10,NON_SP
31000406,1a,-73.23932076,45.84942084,20,Totale,B,0,R,A,0,0,NO,NO,NO,1,B,50,10,NON_SP
31000501,1a,-73.04647614,45.83045794,30,Totale,B,0,R,A,0,0,MR,14,NO,0,B,10,10,NON_SP
31000502,1a,-73.03866518,45.82992729,30,Totale,B,0,R,A,0,0,TO,15,NO,5,C,30,10,NON_SP
31000503,1a,-73.03573783,45.82972647,30,Totale,B,0,R,A,0,0,MR,7,NO,5,B,30,10,NON_SP
31000504,1a,-73.03443498,45.82963569,30,Totale,B,0,R,A,0,0,MD,7,NO,0,B,30,10,NON_SP
31000505,1a,-73.03310638,45.82954479,30,Totale,B,0,R,A,0,0,MD,7,NO,0,C,30,10,NON_SP
31000506,1a,-73.03133277,45.82942506,30,Totale,B,0,R,A,0,0,MD,3,NO,0,B,30,10,NON_SP
31000601,1a,-73.11952642,45.75308098,30,Totale,B,0,R,A,0,0,MD,9,NO,0,C,JIN,10,NON_SP
31000602,1a,-73.117642,45.75475282,30,Totale,B,0,R,A,0,0,MD,16,NO,0,B,70,10,NON_SP
31000603,1a,-73.11505783,45.75704764,30,Totale,B,0,R,A,0,0,MD,10,NO,1,A,90,10,NON_SP
31000604,1a,-73.11288171,45.75897936,35,Totale,B,0,R,A,0,0,MD,8,NO,0,A,30,10,NON_SP
31000605,1a,-73.11099568,45.76065109,30,Totale,B,0,R,A,0,0,MD,16,NO,0,A,JIN,10,NON_SP
31000606,1a,-73.10988566,45.76163709,35,Totale,B,0,R,A,0,0,MD,10,NO,0,A,30,10,NON_SP
31000701,1a,-73.30254933,45.76982578,20,Totale,B,0,R,A,0,0,MU,13,NO,2,A,VIN,10,NON_SP
31000702,1a,-73.3023474,45.77045979,20,Totale,B,0,R,A,0,0,MU,10,NO,2,A,VIN,10,NON_SP
31000703,1a,-73.30165017,45.7726451,20,Totale,B,0,R,A,1,0,MU,17,NO,10,B,50,10,NON_SP
31000704,1a,-73.30125032,45.77389962,20,Totale,B,0,R,A,0,0,MU,12,NO,4,A,JIN,10,NON_SP
31000705,1a,-73.30029699,45.7768853,20,Totale,B,0,R,A,0,0,MU,20,NO,4,A,VIN,10,NON_SP
31000706,1a,-73.29854356,45.78072886,20,Totale,B,0,R,A,0,0,MD,10,NO,20,B,VIN,10,NON_SP
31000801,1a,-73.76323335,45.60631226,50,Totale,B,0,R,A,1,0,MU,4,NO,2,C,30,10,NON_SP
31000802,1a,-73.76160102,45.60816965,50,Totale,B,0,R,A,2,0,MU,16,NO,25,A,JIN,10,NON_SP
31000803,1a,-73.75824704,45.61204654,45,Totale,B,0,R,A,0,0,MU,16,NO,20,B,JIN,10,NON_SP
31000804,1a,-73.75754533,45.61280398,45,Totale,B,0,R,A,0,0,MU,17,NO,15,D,10,10,NON_SP
31000805,1a,-73.75600234,45.61465209,45,Totale,B,0,R,A,1,0,MU,12,NO,4,D,10,10,NON_SP
31000806,1a,-73.75533908,45.61541842,45,Totale,B,0,R,A,0,0,MU,12,NO,0,NO,10,10,NON_SP
31000901,1a,-73.8740792,45.51425596,30,N,B,4,R,B,7,0,MU,12,NO,50,B,30,10,NON_SP
31000902,1a,-73.87637998,45.51379848,30,Totale,B,7,R,A,2,2,MU,17,NO,15,C,JIN,10,NON_SP
31000903,1a,-73.87769657,45.51354218,30,N,B,5,R,B,5,1,MU,12,NO,15,A,JIN,10,NON_SP
31000904,1a,-73.87976741,45.51315738,30,N,B,5,R,B,5,1,MU,10,NO,25,A,30,10,NON_SP
31000905,1a,-73.88210674,45.51273565,30,Totale,B,0,R,A,0,0,SO,99,NO,0,C,JIN,20,NON_SP
31000906,1a,-73.88558356,45.51208508,30,Totale,B,3,X,B,5,0,MU,12,NO,55,A,JIN,10,NON_SP
31001001,1a,-73.88200505,45.6035743,45,S,B,7,R,A,3,0,MU,11,NO,2,A,JIN,10,NON_SP
31001002,1a,-73.88533161,45.60262731,45,E,B,8,R,A,2,0,MD,5,NO,35,A,90,10,NON_SP
31001003,1a,-73.88753225,45.60200798,45,Totale,B,0,R,A,0,0,MD,10,OD,35,A,JIN,10,NON_SP
31001004,1a,-73.89028297,45.60123377,45,N,B,5,I,A,3,0,MU,8,NO,5,B,50,10,NON_SP
31001005,1a,-73.89266245,45.60054174,45,N,B,5,R,B,4,1,MU,10,NO,3,A,90,10,NON_SP
31001006,1a,-73.89440235,45.60004984,45,N,B,5,R,B,6,1,MD,11,NO,5,A,JIN,10,NON_SP
31001101,1a,-73.68700736,45.66375583,30,E,B,5,R,A,2,2,MD,5,NO,2,B,30,10,NON_SP
31001102,1a,-73.68704912,45.66509649,25,S,B,5,R,A,1,0,MR,5,NO,0,B,50,10,NON_SP
31001103,1a,-73.68708863,45.66636067,25,N,B,5,R,A,2,3,MD,3,NO,5,D,30,10,NON_SP
31001104,1a,-73.68714386,45.66813322,25,E,B,5,R,A,2,3,MD,3,NO,65,D,30,10,NON_SP
31001105,1a,-73.68721574,45.67044563,25,Totale,B,0,R,A,0,0,SO,45,NO,0,C,30,10,NON_SP
31001106,1a,-73.6872822,45.67257359,25,Totale,B,0,R,A,0,0,SO,99,NO,0,D,50,10,NON_SP
31001201,1a,-73.28654912,45.69676869,40,Totale,B,0,R,A,0,0,MD,12,NO,0,D,30,10,NON_SP
31001202,1a,-73.28324345,45.69967786,40,Totale,B,0,R,A,0,0,MR,14,NO,0,C,30,10,NON_SP
31001203,1a,-73.2820596,45.70071939,40,Totale,B,0,R,A,0,0,TO,18,NO,0,B,30,10,NON_SP
31001204,1a,-73.28087612,45.70176091,40,Totale,B,0,R,A,0,0,MD,15,NO,0,B,JIN,10,NON_SP
31001205,1a,-73.27922706,45.70321093,35,Totale,B,0,R,A,0,0,MR,15,NO,0,C,70,10,NON_SP
31001206,1a,-73.27736165,45.70484947,35,Totale,B,0,R,A,0,0,MR,14,NO,0,A,JIN,10,NON_SP
31001301,1a,-73.35599061,45.66426353,45,E,B,7,R,D,17,0,MD,5,NO,0,A,VIN,10,NON_SP
31001302,1a,-73.35410806,45.6639822,50,Totale,B,0,R,A,0,0,MD,14,NO,10,B,VIN,10,NON_SP
31001303,1a,-73.35163905,45.66361459,50,Totale,B,0,R,A,0,0,MD,5,NO,10,A,JIN,10,NON_SP
31001304,1a,-73.34972286,45.66333315,50,Totale,B,0,R,A,2,0,MD,8,NO,3,A,90,10,NON_SP
31001305,1a,-73.34797506,45.66307439,50,Totale,B,0,R,A,0,0,MR,12,NO,3,B,30,10,NON_SP
31001306,1a,-73.34664658,45.66287915,50,Totale,B,0,R,A,0,0,MD,11,NO,2,B,50,10,NON_SP
31001401,1a,-73.13126829,45.67860173,35,Totale,B,0,R,A,0,0,TO,14,NO,0,D,50,10,NON_SP
31001402,1a,-73.12788104,45.6792701,35,Totale,B,0,R,A,0,0,TO,8,NO,0,D,50,10,NON_SP
31001403,1a,-73.12356583,45.68011979,35,Totale,B,0,R,A,0,0,MR,9,NO,0,C,50,10,NON_SP
31001404,1a,-73.11647434,45.68151791,35,Totale,B,0,R,A,0,0,MD,10,NO,1,C,10,10,NON_SP
31001501,1a,-73.15467544,45.56532398,140,N,M,5,I,F,43,0,MR,7,NO,35,A,120,10,NON_SP
31001502,1a,-73.15773651,45.56444685,250,E,M,5,R,F,60,3,MD,16,NO,70,C,VIN,10,NON_SP
31001503,1a,-73.16300507,45.5629328,365,E,H,5,I,D,20,1,MD,9,NO,25,C,VIN,10,NON_SP
31001504,1a,-73.16422854,45.56258097,380,N,H,5,I,C,15,0,MD,8,NO,20,B,VIN,10,NON_SP
31001505,1a,-73.166108,45.56204208,400,S,H,4,R,D,22,0,MD,7,NO,35,C,JIN,10,NON_SP
31001601,1a,-73.12451523,45.56385658,40,N,B,7,R,B,4,0,MD,10,NO,1,A,120,21,NON_SP
31001602,1a,-73.12801493,45.5629367,50,E,B,5,R,B,8,0,MD,7,NO,25,B,90,10,NON_SP
31001603,1a,-73.13215768,45.56185232,75,N,M,5,I,D,17,3,SO,70,NO,70,A,30,21,NON_SP
31001604,1a,-73.13582351,45.56089224,160,N,H,5,R,F,85,3,MD,8,NO,75,A,90,10,NON_SP
31001605,1a,-73.13776306,45.560381,200,N,H,5,R,F,50,3,MD,14,NO,40,A,90,10,NON_SP
31001801,1a,-73.27654412,45.6108978,45,Totale,B,0,R,A,1,0,TO,12,NO,0,B,JIN,10,NON_SP
31001802,1a,-73.27933565,45.60994041,45,Totale,B,0,R,A,0,0,MD,14,OC,0,A,VIN,10,NON_SP
31001803,1a,-73.28280228,45.60875029,45,Totale,B,0,R,A,0,0,TO,30,NO,0,B,50,10,NON_SP
31001804,1a,-73.28557155,45.60779721,45,Totale,B,0,R,A,0,0,TO,19,NO,0,B,JIN,10,NON_SP
31001805,1a,-73.2882312,45.60688434,45,Totale,B,0,R,A,0,0,MD,9,NO,2,A,JIN,10,NON_SP
31001806,1a,-73.29107408,45.60590877,45,Totale,B,0,R,A,0,0,MR,14,NO,0,A,JIN,10,NON_SP
31001901,1a,-73.31149425,45.54211021,155,N,M,4,X,D,26,1,MD,5,NO,35,A,90,10,NON_SP
31001902,1a,-73.31501133,45.54125662,125,O,M,5,R,B,6,1,MU,7,NO,45,A,VIN,10,NON_SP
31001903,1a,-73.31964361,45.54013473,90,N,M,6,R,A,2,0,MD,3,NO,10,A,VIN,10,NON_SP
31001904,1a,-73.3205875,45.53990676,90,N,M,5,R,B,8,3,MU,24,NO,5,A,JIN,10,NON_SP
31001905,1a,-73.32541776,45.53835302,105,N,M,4,X,C,9,0,MU,12,NO,40,A,VIN,10,NON_SP
31002001,1a,-72.95772229,45.68211642,35,Totale,B,0,R,A,1,0,MD,14,NO,0,B,30,10,NON_SP
31002002,1a,-72.9555658,45.68226364,35,Totale,B,0,R,A,0,0,MD,13,NO,0,A,VIN,10,NON_SP
31002003,1a,-72.95312225,45.68243193,35,Totale,B,0,R,A,0,0,MD,11,NO,2,A,50,10,NON_SP
31002101,1a,-73.17056057,45.9607575,20,Totale,B,0,R,A,0,0,MD,11,NO,0,A,VIN,10,NON_SP
31002102,1a,-73.17416396,45.96195553,20,Totale,B,0,R,A,0,0,MD,6,NO,0,A,VIN,10,NON_SP
31002103,1a,-73.17647295,45.9627224,20,Totale,B,0,R,A,0,0,MR,12,NO,0,A,VIN,10,NON_SP
31002104,1a,-73.18059535,45.96408815,20,N,B,5,R,A,1,0,MD,6,NO,0,A,70,10,NON_SP
31002105,1a,-73.18335444,45.9650046,20,O,B,3,X,A,2,0,MD,7,NO,0,A,70,10,NON_SP
31002106,1a,-73.18634907,45.9659981,15,Totale,B,0,R,A,0,0,MU,25,NO,0,C,30,10,NON_SP
31003001,1a,-72.85764877,45.47078482,350,O,H,5,R,E,35,2,MD,7,NO,20,A,VIN,10,NON_SP
31003002,1a,-72.85740436,45.4722457,395,S,H,4,X,D,20,1,MD,8,NO,15,A,JIN,10,NON_SP
31003003,1a,-72.85713631,45.47385042,330,N,M,4,X,F,52,2,MD,9,NO,50,C,VIN,10,NON_SP
31003004,1a,-72.8565059,45.47761724,90,N,B,4,I,D,30,3,MR,20,NO,95,C,VIN,10,NON_SP
31003005,1a,-72.85604568,45.48036818,65,N,B,5,R,C,9,0,MD,3,NO,0,A,VIN,10,NON_SP
31003101,1a,-72.91222413,45.41912569,60,Totale,B,0,R,A,3,0,MD,22,NO,5,NO,10,10,NON_SP
31003102,1a,-72.90983393,45.41996823,60,Totale,B,0,R,A,0,0,MR,9,NO,0,B,50,10,NON_SP
31003103,1a,-72.9074216,45.4208196,60,Totale,B,0,R,A,0,0,MD,7,NO,0,A,VIN,10,NON_SP
31003104,1a,-72.90405848,45.42200791,60,Totale,B,0,R,A,0,0,MR,22,NO,0,D,JIN,10,NON_SP
31003105,1a,-72.90115457,45.42303206,60,Totale,B,0,R,A,2,0,MR,13,NO,0,D,70,10,NON_SP
31003106,1a,-72.89932598,45.42367935,60,Totale,B,0,R,A,0,0,MR,11,NO,0,A,120,10,NON_SP
31004101,1a,-72.84196118,45.26062644,85,Totale,B,0,R,A,0,0,MR,19,NO,30,A,JIN,10,NON_SP
31004102,1a,-72.84366187,45.26193655,85,Totale,B,0,R,A,0,0,MD,8,NO,35,B,JIN,10,NON_SP
31004103,1a,-72.84663881,45.26422582,85,Totale,B,0,R,A,0,0,MD,12,NO,80,A,JIN,10,NON_SP
31004104,1a,-72.84885528,45.26593026,85,Totale,B,0,R,A,0,0,MR,11,FR,0,B,70,10,NON_SP
31004105,1a,-72.85130205,45.26781143,85,Totale,B,0,R,A,0,0,MR,18,NO,0,C,30,10,NON_SP
31004106,1a,-72.85346113,45.26947496,85,Totale,B,0,R,A,0,0,MR,15,NO,10,B,JIN,10,NON_SP
31004201,1a,-72.96082956,45.26286024,70,Totale,B,0,R,A,0,0,MD,5,NO,0,C,50,10,NON_SP
31004202,1a,-72.96008154,45.26107494,70,N,B,7,R,B,5,0,MD,10,NO,1,C,50,10,NON_SP
